Date,Close,Volume,Volatility,Monthly Return,Monthly Std Dev,MarketCap
1992-01-31 00:00:00-05:00,3223.39990234375,20610000,,,0.007697672420757705,
1992-02-29 00:00:00-05:00,3267.699951171875,17960000,,,,
1992-03-31 00:00:00-05:00,3235.5,15110000,,-0.009854010971945937,0.005017632279583052,
1992-04-30 00:00:00-04:00,3359.10009765625,22960000,,0.03820123556057786,0.008544003716708373,
1992-05-31 00:00:00-04:00,3396.89990234375,20770000,,,,
1992-06-30 00:00:00-04:00,3318.5,18630000,,-0.0230798388523773,0.005331430847586078,
1992-07-31 00:00:00-04:00,3393.800048828125,13500000,,0.022690989551943597,0.007570047737673993,
1992-08-31 00:00:00-04:00,3257.39990234375,12800000,,-0.04019097899756163,0.004840573842425937,
1992-09-30 00:00:00-04:00,3271.699951171875,19290000,,0.004390019419425961,0.0079851676848202,
1992-10-31 00:00:00-05:00,3226.300048828125,18450000,,,,
1992-11-30 00:00:00-05:00,3305.199951171875,23060000,,0.024455227706551508,0.0055296089213380615,
1992-12-31 00:00:00-05:00,3301.110107421875,13860000,943.2268324456014,-0.0012373967718806167,0.0050265872635476905,
1993-01-31 00:00:00-05:00,3310.0,22060000,909.4647522398525,,,
1993-02-28 00:00:00-05:00,3370.81005859375,21990000,970.2289147239383,,,
1993-03-31 00:00:00-05:00,3435.110107421875,25670000,1137.4618284501116,0.019075547927773107,0.006699790564441571,
1993-04-30 00:00:00-04:00,3427.550048828125,23290000,1212.7109018573647,-0.0022008198739876805,0.006120091212740673,
1993-05-31 00:00:00-04:00,3527.429931640625,17700000,1374.2003259064306,,,
1993-06-30 00:00:00-04:00,3516.080078125,24110000,1586.0999033386202,-0.0032175985733460255,0.005346277621330187,
1993-07-31 00:00:00-04:00,3539.469970703125,25300000,1766.9504630385914,,,
1993-08-31 00:00:00-04:00,3651.25,19700000,2011.6422516720638,0.031581007953761286,0.0031691355894779825,
